text,span,polarity,polarity_predicted,aspect,ordinal
"and also fans place if it s some what moved to the right side instead of mostly to the left side, then the laptop gets the air correctly so laptop don t get much heat.,i am writing this review after using this table for 8 months ,it is very convenient ,the table doesn't shake even if we use it on bed ,corners of the table are smooth and th material is really of good quality,and the fan is really handy ,even i use the use this table as a cooling pad by folding and the legs and just put it on the table ,but only when we are watching videos and not typing ,ot else it will be shakey ,over all i am happy ,that my money didn't not got waste because i search for a table there are other brand for even less price like 500 ,but i choose this thinking that it is a once time investment and i need to buy and item which is durable and i bought this ,and i am happy with my decision,i like it , only thing is little bit smaller than others and i don't find any use of fan.",money,positive,positive,value,0
"though battery closing pane could have been better.usb transmitter 9 10 it's normal and can be carried inside the battery cavity.switch 5 10 on off switch is not handy, you need a long nail to switch it on off but is strong enough to resist a hard stroke when you force it to off with your nailless fingers.precision and laser 10 10 precision is just what most mouses have which is accurate and the laser is invisible no annoying light in the bottom .buttons 7 10 buttons produce a slight noise on click and after a long usage the left button is shaking slightly.overall ratings 9 10the main reason for you to buy this its battery efficiency, it will cost you only 12 inr for 8 months.,its very small and it trouble for my hand which is considerably smaller than other people it do fit nicely in 10 year old nephew but now mine but no complains works great from far distance so its good there its should be sold for 400 only its slighly over priced,nice mouse.easy to holdworking very smooth and fast, response time is very good.,good durable product,its a great mouse under this price for normal office use, it would have been much better if it had silent clicks!!!!!,working well so far.",noise,neutral,positive,sound,0
"it has more length, it is soft, and it lasts longer with moderate use....,product is nice,it's worth buying and quality is great,the product does not support the fast charging for oneplus 7t,the quality of the wire is great.",quality,positive,positive,quality,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",charger,neutral,positive,battery,0
"just felt it is not sturdy enough.,the product packaging was good and clean.",packaging,positive,,delivery,0
"1000 too less and required constant charging.,not even last for 1 2 month in wall clock .",charging,negative,negative,battery,0
"the voice gets to the other side without any disturbance.the build quality is good over the wrists, but you can get scratches on the display, so protect it with some screen guard.",build quality,positive,positive,quality,0
"i liked everything like product quality, packaging was so premiumone thing i didn't liked is you can get fingerprint easily,standard cover for the price.",packaging,positive,,delivery,0
"perfect hdmi cable for boat soundbar and lg smart tv,this product is overpriced,value for money good quality product,quality product,good ,good quality,good,it's ok to purchase for and as arc port",boat soundbar,positive,positive,sound,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",money,positive,positive,value,0
"and also fans place if it s some what moved to the right side instead of mostly to the left side, then the laptop gets the air correctly so laptop don t get much heat.,i am writing this review after using this table for 8 months ,it is very convenient ,the table doesn't shake even if we use it on bed ,corners of the table are smooth and th material is really of good quality,and the fan is really handy ,even i use the use this table as a cooling pad by folding and the legs and just put it on the table ,but only when we are watching videos and not typing ,ot else it will be shakey ,over all i am happy ,that my money didn't not got waste because i search for a table there are other brand for even less price like 500 ,but i choose this thinking that it is a once time investment and i need to buy and item which is durable and i bought this ,and i am happy with my decision,i like it , only thing is little bit smaller than others and i don't find any use of fan.",material,positive,positive,quality,0
"build quality is good and it is comes with 2 year warranty.,good product,bought it for charging my mobile tab but it doesn't work for lenovo m8 tab,guys this cable is is best compare of everyone over heat protection, quickly charging, but chance to shock circuit,good,nice,good quality,1.5 15watt 150 , 67 , ,",quality,positive,positive,quality,0
"it used to charge in one position only, and charging used to stop with little movement...finally had to replace it with new one after 6 7 months....since the price is now reduced to 300, so i will say good product in this price...",price,positive,positive,value,0
"overall, i am very pleased with my purchase and would highly recommend the fire boltt phoenix watch to anyone who is looking for a stylish and functional watch.,this watch is absolutely stunning and great value for money.",money,positive,positive,value,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",chargers,neutral,neutral,battery,0
"very good product..only thing i found lacking was quality of non stick should be little more better..good to use..,nice but lock has little rust as shown in picture,performs as expected.,good product,it's a light weight product.,good product....",quality,negative,positive,quality,0
"like quick data transfer, dislike geting hot itself in 2 minutes and let other pendrives getting hot also.,product, built quality, transfer speed all good.",speed,positive,positive,performance,0
wanted this as my portable battery has usb slot and ipad and kindle reader have usb c ports.,battery,positive,positive,battery,0
when i plugged in the cable it wasn't charging rapidly on my oneplus.,charging,negative,,battery,0
i was quite fed up of using cheap wired headsets as they used to go out of function or get snapped every now and then.,cheap,negative,,quality,0
"plug and play.link for driver is good but internet connection is slow,easy to use.",slow,negative,,performance,0
"it's a good data cable and i recommend it to purchase,the only issue was the metal pin is not fixed firmly so it has become loose,otherwise no issue,must purchase, cable which is sturdy it's not a fast charging cable but the three outlets does the job.,good sturdy micro usb cable with good charging speeds.",speeds,positive,positive,performance,0
"nice,good iron, performance, look and shape is very good,i like this product,yes,working well now.,nice product,acch hai,good",performance,positive,positive,performance,0
good build quality.,build quality,positive,positive,quality,0
"it puts strain on both the points, the charger side and mobile side, which again makes it vulnerable to cracks...this raises a question on longevity of the cable.....let's do some calculations.....my original oneplus cable lasted for 2 years, cost of which at present is rs.1100....",charger side,neutral,positive,battery,0
"they can improve on sturdiness a bit, but overall good quality product and better price than all other products.",price,positive,positive,value,0
"works well and charges fast.,very nice.,good product..",charges,positive,positive,battery,0
"but it showed that installation wasn't complete even though it was and asked for security password once again after restarting the laptop.,its worth for money,okay, working.,good,valuable produc,good usb wi fi dongle for home and office works",money,positive,positive,value,0
"speed is gud nd easy to handle,very useful,quality is okay for this price.,ok,good product,nice product,is is easy to use and we can use it for everything.it is orerall great ,i bought it in 2019, using it everyday.",quality,neutral,positive,quality,0
the cable stopped working in 7 months contacted customer support and they ensured a replacement soon.,stopped working,negative,,durability,0
"little bit lag in touch screen., productsbut hand wash screen off problemre start problem,automatic restart problem,for the first time, i purchased a smartwatch.",lag,negative,,performance,0
"and package was already opened.,nice product",package,negative,positive,delivery,0
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",power banks,positive,positive,battery,0
"very good,good quality product and value for money.",value,positive,positive,value,0
"the rs.1100 cable online is 1.5 meters long, which makes it easy to work on phone while it is plugged.....popio cable costs rs.400 at present but they show it 999 , which means price may rise ...",price,neutral,positive,value,0
"though is a little expensive if you do more than the occasional print.delivery was 3 days earlier than the delivery date shown on amazon, so that was great.",delivery,positive,,delivery,1
"stopped working in a month,this remote will work only for the new tv and not able to connect even follow all the procedure mentioned on guide.,you need to sync with original tv remote to make volume, power, mute and av buttons work.",volume,neutral,neutral,sound,0
"using a short cable while charging puts strain on the cable and phone's charging port, which is damaging for both, and also decreases life of both the cable and charging port.....they say you have to consider cost while writing review...",cost,neutral,neutral,value,0
"however, it needs to be kept in mind that new handsets require higher capacity chargers.",capacity chargers,neutral,neutral,battery,0
"i am willing to live with these perceived shortcomings, so long as the m33 meets my requirements.i was glad to find that samsung has taken an environmentally friendly step of offering many models of handsets without chargers because old chargers, like old handsets, add to e waste.",chargers,positive,positive,battery,0
no issues of lag or disconnection or audio drop on super quiet moments of the song.bass?very decent and controlled.vocals?very cleartreble?sharp and crisp.loudness?you can listen at full volume without much discomfort.,lag,positive,,performance,0
"there is also a driver of realtek which you might need to install to make it work in your kali machine.i have given it 4 stars just because the performance if not good as the alpha adapters which is reasonable for this range of price but in this range and for as a beginner it is the best adapter you can buy.,nice product.",performance,positive,positive,performance,0
every phone with fast charging heats a little.3.,charging,neutral,,battery,0
"the mouse doesn't feel cheap overall, but it is definitely plasticky, though not in the bad sense.",cheap,negative,,quality,0
"except for that issues, the product is 5 5.,product could be more sturdy.,good product, but the quality is not so good, easily breakable,,good",quality,negative,negative,quality,0
must be about 1 1.5kg.very quick charge.,charge,positive,positive,battery,0
"this eliminates the need to buy chargers for the new usb c charging cables.the adapters tend to heat up while charging with samsung fast charger.,good product,value for money,it works worth the money,value for money,its continuously play a beep sound while connected to the laptop, which is irritating.,nothing to complain!,good product but finish could have been still better.as of not working fine but doesn t look much durable.",charger,positive,positive,battery,0
"when we plug in mobile and then in pc i am getting some kind of error but files are intact and able to copy it,i like it's designe speed and build quality but there is a negetive point after you flip side for 10 to 20 time you will find that tha flip cover is starting to get loose,so far so good, it's early to right a review, as per my usage i will update accordingly,good,user friendly",quality,positive,positive,quality,0
"and if you do see any manufacturing defect, then you can always place a replacement request within 7 days of delivery for defectjve or different product.",delivery,neutral,,delivery,0
"it turns out that i could have managed with the old 10 watt charger, except that it would have taken 60 90 minutes for full charging.i conclude by emphasizing that samsung galaxy m33 5g is the perfect phone but for my requirements.",watt charger,neutral,neutral,battery,0
"this has not come with delivery.,i like all the features but login for ott apps is a problem which we have to open chrome in mobile or laptop for login in tv",delivery,neutral,,delivery,0
the cable is efficient in fast charging but in quick data transfer.,charging,positive,,battery,0
"value for money,the remote is compatible with our tata sky box and does the job,it didn't last for more than 15 days and has stopped working.",stopped working,negative,,durability,0
"no more changing of cables every year or soo.,as i need for apple carplay support this is perfect with no lag.",lag,positive,,performance,0
"in one day you cannot judge it,very nice product it s surprisingly charge fast then the original one go for it.",charge,positive,positive,battery,0
"i have personally tested it with laboratory equipment and have found that it has a capacity of around 19000mah, which is very good compared to other power banks on the market.one of the things that i appreciate about the mi power bank 3i is that it is able to hold its charge for a long period of time.",mi power bank 3i,positive,positive,battery,0
"very good,good quality product and value for money.",money,positive,positive,value,0
"good,got a nice product,quick not charger ,cable is very good and looks durable but the pins quality are not good, infact iphone pin keep coming out even with small movement, you can drive and charge simultaneously.",charger,positive,positive,battery,0
"the recommended charger for m33 is 25 watts, but the chargers i had at home are rated at 5 or 10 watts.to cut a long story short, i ordered a 25 watt charger along with the phone to avoid compromising with the charging time.",watt charger,neutral,neutral,battery,0
"now that s a lot of work for this.,,closed small bed room its works.,small in size,i bought this product cause i thought it will help with my allergic problem,the product is smaller than it looked in picture, u have to use it like using yr mobile while charging..the power switch stopped working within 5 days, so i returned d product.if u really want humidifier for medical purpose then go for genuine higher price quality product.,absolutely useful product, every home must have it.",price quality product,positive,positive,quality,0
"it used to charge in one position only, and charging used to stop with little movement...finally had to replace it with new one after 6 7 months....since the price is now reduced to 300, so i will say good product in this price...",price,negative,negative,value,0
even at rs 5k it is not worth it because of the range issue.,worth,negative,,value,0
"this is an amazing bluetooth earphone for its price 500 it's good sound,good battery but only problem is there it's band as its flexible it dosent stay at place when in neck they go over another.",battery,positive,,battery,0
"battery drain revisit few of the settings on your device, like animation, transition effect etc to get most out of your battery.",battery,neutral,,battery,0
"very good quality,good quality usb c charging cable that enables fast charging for samsung m21 as well as m33 5g 24 w seeking phones.",quality,positive,positive,quality,0
one for coffee another for green black tea.totally value for money.,money,positive,positive,value,0
"only the easiest, lightest ones.,sturdy.,adhesion is good but price is high we will get in ikea store for less,extremely effective product and very decently priced., ,worth to buy,very useful product as i have 2 cats at home.",price,positive,positive,value,0
"i don't know about the water resistance but except that it is good.,average quality,product quality is good, value for money but packaging was not good, they folded while packing.",packaging,negative,,delivery,0
"only con is you can't silent the incoming call which is annoying sometime, hope they fix it with an update.built quality and looks 4.5 5 metallic built which looks premium and straps are also quite smooth and comforting.",quality,positive,positive,quality,0
"i have not had to recharge it as frequently as i have had to with other power banks.in terms of durability, the mi power bank 3i has held up well over time.",durability,positive,positive,durability,0
"i would have really appreciate if the quality of beaters can be improved coz the entire product other than this justifies it's value, product for making cake cream....i have used this product more than 8 months.....no issue...no complaint.....good working,it's good if used properly.,i like this product.,its such a good product by kent.",quality,positive,positive,quality,0
"battery leakage is another problempls don't buy and waste money instead go for good mah and good brands,i have tried changing once only it's ok,1.2 v please check when buying",battery leakage,negative,negative,battery,0
"using a short cable while charging puts strain on the cable and phone's charging port, which is damaging for both, and also decreases life of both the cable and charging port.....they say you have to consider cost while writing review...",cost,neutral,neutral,value,0
"it's very good peace what i read.,institutions free is very expensive and difficult prasasan but thanks for amazon,my review is after 2 months of buyexcellent mi tv 55inchi like the its built quality.picture quality is osm and working good no issue with display 55 inch is much big and in dark looks like theater experiencesound quality better and much loud, bass is good with 40w speakerworking good with no issue and android with no lag good storage with all ports with dolby vision hdr 10no issue with pachtwallconsi face an issue with chromecast, i think i should be solved on tv updateother all features are amazingmust buy it ....,good,nice clarity good product,good tv for reasonable rate.",quality,positive,positive,quality,0
"the rs.1100 cable online is 1.5 meters long, which makes it easy to work on phone while it is plugged.....popio cable costs rs.400 at present but they show it 999 , which means price may rise ...",price,neutral,positive,value,0
"if you try to play those triple aaa games you will feel the lag.,good",lag,neutral,negative,performance,0
it is a reliable and high quality power bank that delivers on its advertised capacity.,quality power bank,positive,positive,battery,0
"however the backup battery stopped working later and the customer support team were quick to respond and swiftly sent me the replacement product.,product was delivered very promptly and packaging was good.",stopped working,neutral,,durability,0
"the construction is solid and the power bank has not suffered any damage despite being carried around in my bag on a daily basis.overall, i am extremely satisfied with my purchase of the mi power bank 3i 20000mah and would highly recommend it to others.",power bank,positive,positive,battery,0
"the tv i bought is great .,picture quality good but sound can be more clear,nice picture quality,sometimes lines comes on screen.",sound,negative,,sound,0
but bass levels are different.,bass,negative,,sound,0
"battery leakage is another problempls don't buy and waste money instead go for good mah and good brands,i have tried changing once only it's ok,1.2 v please check when buying",money,negative,negative,value,0
"it is fairly even sound, but not a significant enough improvement in bass over the 200.",sound,negative,,sound,0
"but even though i had never used dkms or iw before, the github repo along with the build tools available in the jammy repo made it easy enough to get the device working read the github readme .to be sure i first got the drivers working in a local ubuntu vm using guest additions to connect to the usb device directly from the guest os, which also worked.ultimately, i installed the os on the host and setup the drivers using usb tethering.",build tools,neutral,neutral,quality,0
because of that battery drains very little and 33w charger charges phone within 30 mins for my usage.,battery,neutral,,battery,0
"like quick data transfer, dislike geting hot itself in 2 minutes and let other pendrives getting hot also.,product, built quality, transfer speed all good.",quality,positive,positive,quality,0
"i have not had to recharge it as frequently as i have had to with other power banks.in terms of durability, the mi power bank 3i has held up well over time.",power,positive,positive,battery,0
"and also fans place if it s some what moved to the right side instead of mostly to the left side, then the laptop gets the air correctly so laptop don t get much heat.,i am writing this review after using this table for 8 months ,it is very convenient ,the table doesn't shake even if we use it on bed ,corners of the table are smooth and th material is really of good quality,and the fan is really handy ,even i use the use this table as a cooling pad by folding and the legs and just put it on the table ,but only when we are watching videos and not typing ,ot else it will be shakey ,over all i am happy ,that my money didn't not got waste because i search for a table there are other brand for even less price like 500 ,but i choose this thinking that it is a once time investment and i need to buy and item which is durable and i bought this ,and i am happy with my decision,i like it , only thing is little bit smaller than others and i don't find any use of fan.",quality,positive,positive,quality,0
"the device was bug ridden from the beginning and they basically abandoned the device in 6 months, with the last software update in feb 2022, still riddled with bugs and never to see google tv 12.the stick heats up enough to scald you if you touch it and it stutters like crazy after usage of over a day, in part due to the lackluster a35 arm cores which is lacking in performance compared to a53 cores present in sticks from over 7 years ago, and also due to poor ram management.only reason to get it would be for the price, if it is less than 3k, but be prepared to suffer through a laggy interface and the known issues of the remote failing within a few months.",price,neutral,negative,value,0
"stopped working in a month,this remote will work only for the new tv and not able to connect even follow all the procedure mentioned on guide.,you need to sync with original tv remote to make volume, power, mute and av buttons work.",power,neutral,neutral,battery,0
"i would certainly appreciate practical features like high reliability, software and security updates and high battery capacity sufficient for 24 hours or preferably 48 hours at my normal level of usage .",battery capacity,neutral,positive,battery,0
